competition_id,round_type_id,group_id,is_extra,scramble_num,scramble,Prime Move Count
VilniusSpringOpen2023,f,A,0,4,U' R' U' R' U' F' R2 F' U' R' U',10
GuaraOpen2024,f,A,0,5,U' R F' U' F' U' F' U' R' U' R',10
TaiwanChampionship2024,1,F,0,3,R F' U' F' U' F' U' F' R' U' R',10
AnkaraAugust2024,1,B,0,2,U' R' U' F' R2 F' R' U' R' U' F',10
FundacionAnayJoseBogota2024,1,A,0,5,R' U' R' F' U' F' U' R2 U' F' R',10
FLIPOpen2018,1,C,1,1,U' R' F' U' R U' R' F' U' F' U',10
UkrainianOpen2015,2,A,0,2,U' R' U' R U' R' F' U' F' U' R',10
Sqauckland2025,1,C,0,4,R' U' R' F' U' F' R U' R' U' F',10
KharkivWinter2017,2,A,0,1,U' R' F' R U' R' U' F' U' F' R',10
KyrgyzstanNationals2025,1,B,0,3,R' F' U' R2 F' R' U' R' U' F' R',10
BattleofVirginiaBeachWinter2019,f,A,1,2,R U' F' U' R' U' R' F' U' R' U',10
PSKGPremiereCubing2023,1,C,1,2,R' U' F' U' F' R2 U' R' U' R' U',10
ClockingManiaCoacalco2025,f,A,0,4,R' U' F' U' R2 U' R' U' R' F' U',10
NacionalesUruguayas2024,2,C,0,2,R' U' F' U' R U' R' F' U' R' U',10
SacCubingIII2018,1,K,0,1,R' U' F' R2 F' U' R' U' R' U' F',10
SabahCubeOpen2018,1,A,0,1,R' F' R' U' R2 F' U' R' U' R' U',10
TaiwanSummerOpen2014,2,A,0,1,R' F' U' R2 F' R' U' R' U' F' U',10
MicentroFunza2024,d,D,0,4,F' U' R' U' R' U' R2 U' F' R' U',10
LimaSummer2023,1,B,0,3,U' R' U' F' U' F' U' R U' R' U',10
LosReyesdelCuboChiclayo2024,1,F,0,2,U' R' U' F' U' R2 U' F' R' U' R',10
LowerMorelandFall2018,1,F,0,1,U' R' U' F' R2 F' U' R' U' R' U',10
UtahSpringOpen2019,1,C,0,5,R' U' F' U' F' U' F' U' R2 U' R',10
OakvilleAutumnLimited2018,2,A,0,1,R' U' F' U' R U' R' U' F' U' F',10
BurgasOpen2023,1,D,1,1,U' R' F' R2 U' R' F' U' R' U' R',10
DixonFall2016,1,E,0,3,R' U' R2 U' R' U' R' U' F' U' F',10
LyonLastLayer2025,1,A,0,2,U' R' U' F U' R2 U' R' F' U' F',9
AvesMariaNuevosCampeones2024,d,C,1,1,U' R' U' R F' R' U' R' U' R U',9
MaruCubeDayTaiwan2024,1,C,0,5,R U' F' R' U' R2 U' F' U' R' U',9
BerkeleyFall2016,d,F,0,1,U' R' U' F' R' F U' F' U' R2 U',9
ColonieSpring2019,f,B,0,3,U' R' U' F' R' U2 R' U' R2 U' R',9
EspritCubeOpenBayonne2023,1,D,0,1,U' R' U' R' U' F' U' R U' R' U2,9
IndialanticOpen2019,f,A,1,2,U' R' U' F' R' U2 R2 U' F' R' U',9
CentroSubaBogotaII2024,f,A,0,4,R' F U' R2 U' R' U' F' R' U' R',9
HaNoiOpen2015,f,F,0,5,U' R' U' R' F R2 U' F' U' F' R',9
